theme,ticker,article_count_7d,source_breadth_7d,matched_item_count,sample_headlines,explicit_mention_count_7d,bucket_type,bucket_weight,rank,attention_score,theme_adjusted_confidence,theme_narrative_type,theme_article_count_7d,unique_ticker_count_7d,top_ticker_share_7d,pure_play_ratio_7d,company_name,sector,industry,price_return_5d,price_return_1m,price_return_3m,relative_return_1m_spy,price_state,article_exposure_pct,source_breadth_pct,context_relevance_pct,article_exposure_effective,source_breadth_effective,context_relevance_effective,pure_play_fit,price_confirmation,company_narrative_score,company_narrative_role,interpretation_flag
Quantum Computing,INTC,2,2,0,Intel CEO Lip-Bu Tan Has A New Role In Nvidia-Backed 'Fault-Tolerant' Quantum Computing Firm,2,explicit_news_linked,85.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,,,,28.924992812463746,114.5872434356856,121.25360324298065,104.85631665592118,overheated,100.0,100.0,53.84615384615385,100.0,100.0,53.84615384615385,85.0,61.0,81.91923076923078,explicit_news_linked,normal;price_risk
Quantum Computing,NVDA,1,1,0,Nvidia Is Using AI to Fix Quantum Computing's Biggest Problem,1,explicit_news_linked,85.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,NVIDIA Corporation Common Stock,Technology,Semiconductors,-7.369700985139271,11.157401144065604,9.499115003212854,1.353641219820224,neutral,88.46153846153845,88.46153846153845,53.84615384615385,88.46153846153845,88.46153846153845,53.84615384615385,85.0,54.430133319075864,75.74144307478444,explicit_news_linked,normal
Quantum Computing,RGTI,0,0,0,,0,pure_play,100.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,Rigetti Computing Inc. Common Stock,Technology,EDP Services,9.304463591634192,26.161979972973405,-1.6199790432546046,16.358220048728025,confirming,42.30769230769231,42.30769230769231,53.84615384615385,42.30769230769231,42.30769230769231,53.84615384615385,100.0,80.93517003087445,60.14796781232348,mapped_pure_play_watch,mapped_only_needs_news_confirmation
Quantum Computing,IONQ,0,0,0,,0,pure_play,100.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,IonQ Inc. Common Stock,Technology,EDP Services,8.611882374151293,60.02052421951183,21.62724052721554,50.21676429526645,overheated,42.30769230769231,42.30769230769231,53.84615384615385,42.30769230769231,42.30769230769231,53.84615384615385,100.0,61.0,57.157692307692315,mapped_pure_play_watch,mapped_only_needs_news_confirmation;price_risk
Quantum Computing,QBTS,0,0,0,,0,pure_play,100.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,D-Wave Quantum Inc. Common Shares,Technology,EDP Services,17.780227525304237,50.84865209199651,-0.3271013835140723,41.04489216775113,overheated,42.30769230769231,42.30769230769231,53.84615384615385,42.30769230769231,42.30769230769231,53.84615384615385,100.0,61.0,57.157692307692315,mapped_pure_play_watch,mapped_only_needs_news_confirmation;price_risk
Quantum Computing,QUBT,0,0,0,,0,pure_play,100.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,Quantum Computing Inc. Common Stock,Technology,Computer Software: Prepackaged Software,9.919492970184818,37.31924240169386,-2.3823773629135125,27.515482477448483,overheated,42.30769230769231,42.30769230769231,53.84615384615385,42.30769230769231,42.30769230769231,53.84615384615385,100.0,58.208158702466946,56.73891611306236,mapped_pure_play_watch,mapped_only_needs_news_confirmation;price_risk
Quantum Computing,GOOGL,0,0,0,,0,enabler,80.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,10.801074650107466,29.190976424180825,14.16586043636583,19.387216499935445,extended,42.30769230769231,42.30769230769231,53.84615384615385,42.30769230769231,42.30769230769231,53.84615384615385,80.0,64.2670661272026,53.6477522267727,mapped_watch,mapped_only_needs_news_confirmation;price_risk
Quantum Computing,AMZN,0,0,0,,0,adopter,55.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,5.987673108221658,29.352887205498867,15.3507692701206,19.549127281253487,extended,42.30769230769231,42.30769230769231,53.84615384615385,42.30769230769231,42.30769230769231,53.84615384615385,55.0,64.44516798665245,48.67446750569018,mapped_watch,mapped_only_needs_news_confirmation;price_risk
Quantum Computing,MSFT,0,0,0,,0,adopter,55.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,-4.591727770548193,9.831582059121336,-0.1787955885236392,0.0278221348759544,neutral,42.30769230769231,42.30769230769231,53.84615384615385,42.30769230769231,42.30769230769231,53.84615384615385,55.0,52.97173232563716,46.95345215653789,mapped_watch,mapped_only_needs_news_confirmation
Quantum Computing,IBM,0,0,0,,0,enabler,80.0,1,82.84375,high,emerging_watch,24,3,0.5,0.0,International Business Machines Corporation Common Stock,Technology,Computer Manufacturing,-2.0425655011890975,-7.481562090821392,-21.9932952192329,-17.28532201506677,lagging,42.30769230769231,42.30769230769231,53.84615384615385,42.30769230769231,42.30769230769231,53.84615384615385,80.0,18.92727376070016,46.84678337179734,mapped_watch,mapped_only_needs_news_confirmation
